date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
1990-10-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,1.9,0.0019
1990-10-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,1.22,0.0012
1991-08-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,2.0,0.0019
1991-08-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,1.22,0.0012
1992-06-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,2.58,0.0025
1992-06-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,1.6,0.0016
1992-12-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,2.78,0.0027
1992-12-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,1.6,0.0016
1993-07-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,2.91,0.0028
1993-07-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,1.72,0.0017
1994-02-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,3.32,0.0032
1994-02-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,2.12,0.0021
1994-04-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,3.4,0.0033
1994-04-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,2.12,0.0021
1994-04-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,3.6,0.0035
1994-10-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,3.4,0.0033
1994-10-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,2.1,0.002
1994-10-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,6.0,0.0058
1995-01-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,6.3,0.0061
1995-01-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,4.85,0.0047
1995-01-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,7.65,0.0074
1995-03-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,6.68,0.0065
1995-03-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,5.14,0.005
1995-03-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,8.04,0.0078
1995-07-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,8.4,0.0082
1995-07-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,7.54,0.0073
1995-07-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,10.0,0.0097
1995-12-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,8.4,0.0082
1995-12-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,7.54,0.0073
1995-12-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,10.0,0.0097
1996-07-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,8.4,0.0082
1996-07-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,7.54,0.0073
1996-07-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,10.0,0.0097
1998-01-15,Southern Region,Nsanje,Marka,-17.12006950378418,35.22654342651367,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1500.0,2.6367
1998-01-15,Southern Region,Nsanje,Marka,-17.12006950378418,35.22654342651367,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3000.0,5.2734
1998-01-15,Southern Region,Nsanje,Marka,-17.12006950378418,35.22654342651367,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1500.0,2.6367
1998-02-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,11.0,0.0107
1998-02-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,7.0,0.0068
1998-02-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,13.0,0.0127
1998-02-15,Southern Region,Nsanje,Marka,-17.12006950378418,35.22654342651367,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1551.0,2.7264
1998-03-15,Southern Region,Nsanje,Marka,-17.12006950378418,35.22654342651367,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1602.0,2.816
1998-03-15,Southern Region,Nsanje,Marka,-17.12006950378418,35.22654342651367,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3200.0,5.625
